iter	Logloss
0	0.6811327632
1	0.6686862856
2	0.6552802988
3	0.6447492779
4	0.6353517086
5	0.6256256092
6	0.6178416839
7	0.6095123321
8	0.6018734614
9	0.5926161834
10	0.5846709674
11	0.576422775
12	0.5707840616
13	0.5635099344
14	0.5597237496
15	0.5550685941
16	0.5496979519
17	0.5443675911
18	0.5398486081
19	0.5357623011
20	0.5324257913
21	0.5296889042
22	0.5257036925
23	0.5215047298
24	0.5179675808
25	0.5142393301
26	0.5111784188
27	0.5079167901
28	0.5051184538
29	0.5021637062
30	0.4996176136
31	0.4975150858
32	0.4955255992
33	0.4937011353
34	0.4910637999
35	0.4885646592
36	0.4863116875
37	0.4839653952
38	0.4814197822
39	0.4793615006
40	0.4774850153
41	0.4757418665
42	0.4739123583
43	0.4723255719
44	0.470962707
45	0.4693193919
46	0.4678975767
47	0.4662099687
48	0.4642798349
49	0.4626683614
50	0.4613944712
51	0.4602424013
52	0.4590052697
53	0.4576993082
54	0.4564390053
55	0.4551683588
56	0.4539304272
57	0.4530061377
58	0.4517867135
59	0.4505084594
60	0.4494245153
61	0.4479359582
62	0.4471544557
63	0.4459032641
64	0.4445233263
65	0.4431959585
66	0.4421756588
67	0.4414112625
68	0.4407155942
69	0.4398339765
70	0.4391827231
71	0.4387178011
72	0.4380113081
73	0.4370923104
74	0.4364379443
75	0.4356417849
76	0.4345035464
77	0.4335351213
78	0.4325250642
79	0.4316349281
80	0.4309884731
81	0.430104752
82	0.4293202733
83	0.4289028869
84	0.4284305728
85	0.4278580538
86	0.4273122049
87	0.4265612499
88	0.4260564978
89	0.4256719075
90	0.4247897131
91	0.4241557711
92	0.4235608561
93	0.423167988
94	0.4226450579
95	0.4219636745
96	0.4211795609
97	0.4207234187
98	0.4201715267
99	0.4196615894
100	0.419321619
101	0.418997697
102	0.4185404996
103	0.4178359597
104	0.4169358729
105	0.4165403778
106	0.4161662552
107	0.4158037351
108	0.4153896765
109	0.4148004033
110	0.4144132621
111	0.4136060798
112	0.413407024
113	0.413136201
114	0.4126655825
115	0.4123051295
116	0.4119088387
117	0.4114365683
118	0.4110177059
119	0.4105441889
120	0.4098039833
121	0.4095164136
122	0.4092458121
123	0.4088212468
124	0.4082825729
125	0.4078934778
126	0.4072824289
127	0.4069246552
